Key,Participant_ID,eeg_mean_delta,eeg_mean_theta,eeg_mean_alpha,eeg_mean_beta,eeg_mean_gamma,eeg_std_theta,eeg_std_alpha,eeg_std_beta,eeg_beta_alpha_ratio,eeg_theta_beta_ratio,eye_mean_pupil,eye_fixation_count,eye_gaze_dispersion,gsr_mean,gsr_max,gsr_std,gsr_peak_count,ivt_mean_fix_dur,ivt_mean_sac_amp,ivt_fixation_count,ivt_saccade_count,tiva_mean_anger,tiva_max_anger,tiva_mean_contempt,tiva_max_contempt,tiva_mean_disgust,tiva_max_disgust,tiva_mean_fear,tiva_max_fear,tiva_mean_joy,tiva_max_joy,tiva_mean_sadness,tiva_max_sadness,tiva_mean_surprise,tiva_max_surprise,tiva_mean_engagement,tiva_max_engagement,tiva_mean_valence,tiva_max_valence,tiva_mean_confusion,tiva_max_confusion,tiva_mean_neutral,tiva_max_neutral,tiva_mean_attention,tiva_max_attention,tiva_mean_blinkrate,tiva_max_blinkrate,label
1Item10,0.9023921338684321,-0.36869143420555983,-0.12071353178325532,0.3169133929910773,0.17135569559799718,0.5199677007445207,1.1257319512921204,0.6242369840173967,0.14914783656747035,0.0649210545502147,-0.006176480765073883,0.030988280254937398,1.2413100433656075,0.7529344759774936,0.9871931417077999,0.9818030733639176,0.29143405175434034,1.5871927649455242,0.09328513535162823,-0.04925067454972357,1.0725284402714452,2.0555268496260397,-0.6041168197027889,-0.3562556414498986,-0.2773801639323485,-0.19410690980095027,-0.16164751540165212,-0.10061961945943938,-0.26938244115750326,-0.44739392313927784,-0.0420276010800606,-0.05250732426842224,-0.2398710248445114,-0.2515029007427581,-0.2449769543112426,-0.3604603015035575,1.0284136989976949,0.7772911781656411,0.22155369239935263,-0.05119755364372437,-0.2821712773482051,-0.3559111739344432,0.2164215143981941,0.13155067625613467,-0.9083794268985457,-1.1212806801747268,1.921796162603934,2.4140457573683305,0
2spl1,0.9023921338684321,-0.7397234006510381,-0.6688606319779026,-0.2372099072789783,0.11911597122651138,0.42817853154759117,-0.7212814267876325,-0.48278857721631774,-0.7481351397131266,0.2853081229978438,-0.020986387161975647,0.028846388690118487,-0.6273299086411996,0.7451771483986203,0.8957316209001379,0.8573464374744391,-0.5709340476547041,-0.5397854830341806,-0.3350392726047885,0.771870539125722,-0.5338761451568105,-0.3005861474523629,-0.6096592813867368,-0.3625592096663497,-0.2810651613491173,-0.19617088306706726,-0.16289427895164016,-0.10069030702280093,-0.22817640815119006,-0.44953080326100425,-0.041989761203688344,-0.05250332469020284,-0.24153897292438853,-0.2538721901111945,0.018389880511615806,-0.15265299753219724,1.4002125377744399,0.7494471330463855,0.22155369239935263,-0.05119755364372437,-0.28424557463872574,-0.36656120887878435,-0.19009633568132345,-0.8887211906634941,0.33397862751106894,-0.061678046845240336,3.6940436612841774,3.41304889809745,1
2spl2,0.9023921338684321,-0.1163374672101927,-0.18169642270722702,-0.6106175540664328,0.16360611372387332,0.5763728057546158,-0.4722209303253148,-0.5874755008414273,-0.3000850958838607,0.6302677023938417,-0.007703961644502543,0.2202220487976563,-0.5891573026177144,0.4664250834567573,0.9040840329535972,0.8671351616455215,-0.46368599848367104,-0.48836403088522073,-0.10090347680003645,0.6664376369578336,-0.4702002985693382,-0.3552734897443181,-0.6117376478868187,-0.36331495525823326,-0.28237604766333946,-0.19646044865914647,-0.16527658699611628,-0.10087782834319924,-0.19310234835058313,-0.4504691304536309,-0.042004744250049825,-0.05249664994376215,-0.24019601113672406,-0.2544990489951806,0.08777093658309519,-0.1831454492507904,1.5376109767508708,0.7882557629757682,0.22155369239935263,-0.05119755364372437,-0.27751760122572255,-0.3582141682074233,-0.297216630499123,-1.4087366981514127,0.24404846429210747,-0.24763423961518943,1.8552951869033807,1.7480436635489174,1
2Item1,0.9023921338684321,-0.319387401315284,-0.4769325152146802,-0.4540832377416247,0.19179370001659526,0.3642195343424123,-1.2884827871219109,-0.6418853388749904,-0.3972792407166959,0.5056423427525291,-0.01748788870415534,0.18877792007359012,-0.727911695941177,0.8164596580198146,0.927751556942782,0.936355425426748,0.7807847591989892,-0.6847004845448857,-0.34251359449534546,0.9530158561715824,-0.5669231035123341,-0.4600908958038989,-0.6110781371515113,-0.36328840013535846,-0.2810670495073131,-0.19646267919071067,-0.16638970069361847,-0.10091245028725201,-0.20895856782999658,-0.446956403210255,-0.04202110157996014,-0.05251268201530308,-0.23804717127674427,-0.2541328311108925,-0.04759161058636416,-0.15928294740793794,1.3689427100107068,0.7587839521589963,0.22155369239935263,-0.05119755364372437,-0.27125348308309327,-0.3571634904765338,-0.08822479373700973,-0.49822068184706075,0.17737104920904775,-0.32907163587029137,0.6541371660158547,0.4160394759100913,1
2Item2,0.9023921338684321,-0.45163720582179256,-0.2542556110983542,0.3217468086117724,0.39044123010042797,0.4413618336094257,0.5151983179337133,0.7596502314000696,0.6191549216275761,0.2701203038442583,-0.01727883418513597,0.27378937179565177,-0.6715616584779367,0.4265629485763869,0.9778014977348278,0.9370546200103975,-0.5488340699503623,-0.6145803225235769,-0.49354335641808206,1.197736611709753,-0.521785794538936,-0.44641906023091005,-0.6117503149397321,-0.3631470742500787,-0.281933127847586,-0.19657156254046557,-0.16702846561034843,-0.10082216491551504,-0.17374253581282534,-0.39164066316458895,-0.042013416608901295,-0.052509671318903856,-0.2376004983562145,-0.25289395136147363,0.05979764058496483,0.0795074275719626,1.4979553281719165,0.7777478511278098,0.22155369239935263,-0.05119755364372437,-0.27905565367918544,-0.36219163038267627,-0.25402747094767697,-0.4648945863119334,0.13059104183807763,-0.46948265730345035,0.5746658101272669,0.4160394759100913,1
2Item3,0.9023921338684321,1.0941846934501873,0.7583625081508502,1.0227853083708234,0.415544598273938,0.4700742480461896,0.5690276589984764,-0.21377272567412092,-0.022783545226064746,0.005737446091747913,0.008427918105486711,0.23691313212831883,-0.5970341895749415,0.3938048124921341,1.0233956039075789,1.0132668296281115,1.0161739343367144,-0.5047254020235261,-0.2960314571531163,0.5320207373868305,-0.4637521115731385,-0.36438804679297726,-0.6085157805188173,-0.3581445212589052,-0.28077386582213193,-0.19622445086119686,-0.16557658802469788,-0.10068699725949301,-0.2000105449436981,-0.37397017653764275,-0.042013344307443024,-0.05251488373885609,-0.23810594058549334,-0.2533411082114032,0.012596593277817867,-0.1614144723710334,1.3473781101311402,0.7731124481394283,0.22155369239935263,-0.05119755364372437,-0.2651497329560728,-0.307653107813242,-0.1811518474769678,-0.8197408615171807,0.12425437181238262,-0.22169381394568705,0.48816159088570693,0.4160394759100913,1
2Item4,0.9023921338684321,0.5945012822946364,0.5953706737053923,0.8627820577450037,0.5447448453395513,0.6448556482490704,0.8784573970089522,0.4349094528120774,-0.47116466998168427,0.16979440421363348,-0.0006068893586123547,-0.011611428599758765,0.2833594064905225,-0.037275447624734066,1.0311940656257825,1.0321450833866277,0.6134280797123158,0.4979929148811918,0.9832365007402557,-0.4998056366461056,0.312448398094403,0.2599591110401778,-0.6084632739087796,-0.35990106212565104,-0.27931963888595157,-0.19491254189928575,-0.16663000181400187,-0.10064024407860411,-0.20764978645116336,-0.2524370087886191,-0.04200783564723871,-0.05246460432677597,-0.23565969318726554,-0.24980302424671652,-0.08698259761697079,-0.11301050903314996,1.2357654489004852,0.7887199239951375,0.22155369239935263,-0.05119755364372437,-0.2661472747430732,-0.3359390717046513,-0.02745056190747641,-0.030406587754942337,0.14464942961343122,-0.2731562713223173,1.907944323144846,2.4140457573683305,1
2Item5,0.9023921338684321,-0.2732722824654366,0.08638498438295421,0.09839181193720022,0.22369517505976214,0.47035636505784884,-0.6815866162327482,-0.42753220834759437,-0.6777513912558718,0.21688969164123986,-0.00215632822754216,0.24159739293198226,-0.15411077682624624,0.15857565765709125,1.0203725926077778,1.0013805217060832,0.1660306494292678,-0.037257655214799824,0.1597472708053799,0.7782210020168369,0.0013233755277664377,0.00475151367772025,-0.612734204565542,-0.3613359467449703,-0.28162907936681936,-0.19535104907794457,-0.16900498333746627,-0.10075202367763467,-0.1628362248072861,-0.38593708625613415,-0.042005362481336336,-0.05250528145760139,-0.23471410364224615,-0.24727475280797495,0.10145513420442154,0.06917099935035047,1.4818227924669458,0.7836222320016867,0.22155369239935263,-0.05119755364372437,-0.2734363480016495,-0.3513074782972625,-0.3183442044465216,-0.40056129467456986,0.0678504805730988,-0.19390050072832463,2.649362749770387,2.4140457573683305,1
2Item6,0.9023921338684321,0.5619033659002852,0.910135658738001,0.5157492573885669,0.508314522816542,0.6573224308063722,-0.4106789134063806,0.10323514842790577,-0.5341606776882131,0.2871741214806336,0.008511793174366273,0.04152426910492711,0.2579110024748656,-0.0767489799014067,1.0209774507599736,0.9950877704532437,-0.07021785136422008,0.4372221077960574,0.20722665594121098,0.7598145299765013,0.21008342952973244,0.360219238575429,-0.6100381843374217,-0.36245304533340356,-0.28131464770934234,-0.19632577641206708,-0.16506591976011875,-0.10080154584467947,-0.20523242351324072,-0.4448112459440868,-0.04200826422599676,-0.05250118348522917,-0.23919998540139945,-0.2540806197486599,0.03706321135472164,0.0483008339562176,1.4066968556790478,0.7879390969778372,0.22155369239935263,-0.05119755364372437,-0.2787606179902818,-0.3596119675393177,-0.21892685429235711,-0.3976665198180983,0.04468044337126062,-0.27552717044264985,1.5582844493020782,1.415042616639211,1
2Item7,0.9023921338684321,0.18775419127469106,0.5845017170118513,0.6121608591013669,0.5182915285491991,0.6556360911917838,0.3689692512423671,0.4499691257353828,0.08256493280288883,0.2523940553438191,5.337128608296999e-05,0.007395925407938411,4.521124589478723,0.10819849346739348,1.0085663080091976,1.052421726312442,0.7505370175222812,5.268501271064244,0.3286139541196539,-0.5209322749023537,3.7565862774395797,5.4233556791056134,-0.6053940692152469,-0.35344934922092414,-0.27841158721143117,-0.19239960808499956,-0.16173043197719675,-0.0966551436896493,-0.23086015151107694,-0.21269845433360907,-0.04199023795165762,-0.052489941026967135,-0.23866938435356505,-0.24659575447883353,0.26196897872082225,1.7802117857438764,1.2397363721895207,1.0124389340175388,0.22155369239935263,-0.05119755364372437,-0.2783229962924534,-0.3530086579671108,-0.417503805483452,0.1708634125582628,-0.5262366695794325,-0.1845264836181022,3.109469174107841,4.079050991916863,1
